Strain,# puncta per cell in strain
control-yMS2882,0.9858799798285426
YBR070C,0.33035714285714285
control-yMS2885,0.5055970149253731
YDR495C,0.5435168738898757
YBR168W,0.27045454545454545
YBR110W,0.37294469357249627
YGL184C,0.32689655172413795
YEL013W,0.5664961636828645
YIL095W,0.2907303370786517
YGR157W,0.331306990881459
YHR039C,0.38228941684665224
YDR329C,0.2928151830094894
YLR454W,0.41361256544502617
YMR031C,0.5376344086021505
YMR109W,0.3269830273640457
YDL193W,0.31561996779388085
YBL050W,0.46318289786223277
YMR264W,0.26570048309178745
YPR097W,0.33250927070457353
YJL062W-A,0.3305741458259951
YNL149C,0.3333333333333333
YER018C,0.476456009913259
YOL048C,0.6828478964401294
YIL056W,0.988498789346247
YPR122W,0.6004842615012107
YHR201C,1.1897727272727272
YLR408C,0.48058902275769744
YDR034C,0.8971861471861472
YDR082W,0.31296493092454836
YCL029C,1.4935064935064934
YOR081C,0.24522292993630573
YCL028W,0.24901806755695208
YPR140W,0.5338983050847458
YAR050W,0.6627820110563275
YLR148W,0.4393939393939394
YFR024C-A,0.2536764705882353
YJL207C,0.4849315068493151
YLR087C,0.5144385026737968
YJL061W,0.3073529411764706
YJL123C,0.492619926199262
