Object ID,Strain,# pun in cell
0,control-yMS2882,0.0
1,control-yMS2882,1.0
2,control-yMS2882,1.0
3,control-yMS2882,1.0
4,control-yMS2882,1.0
5,control-yMS2882,1.0
6,control-yMS2882,1.0
7,control-yMS2882,3.0
8,control-yMS2882,1.0
9,control-yMS2882,1.0
10,control-yMS2882,3.0
11,control-yMS2882,1.0
12,control-yMS2882,2.0
13,control-yMS2882,2.0
14,control-yMS2882,1.0
15,control-yMS2882,2.0
16,control-yMS2882,1.0
17,control-yMS2882,2.0
18,control-yMS2882,3.0
19,control-yMS2882,2.0
20,control-yMS2882,3.0
21,control-yMS2882,0.0
22,control-yMS2882,1.0
23,control-yMS2882,0.0
24,control-yMS2882,0.0
25,control-yMS2882,0.0
26,control-yMS2882,1.0
27,control-yMS2882,1.0
28,control-yMS2882,2.0
30,control-yMS2882,2.0
31,control-yMS2882,3.0
32,control-yMS2882,1.0
33,control-yMS2882,1.0
34,control-yMS2882,2.0
35,control-yMS2882,0.0
36,control-yMS2882,1.0
37,control-yMS2882,1.0
38,control-yMS2882,2.0
39,control-yMS2882,1.0
40,control-yMS2882,1.0
41,control-yMS2882,1.0
42,control-yMS2882,3.0
43,control-yMS2882,0.0
44,control-yMS2882,0.0
45,control-yMS2882,0.0
46,control-yMS2882,0.0
47,control-yMS2882,1.0
48,control-yMS2882,1.0
49,control-yMS2882,2.0
50,control-yMS2882,0.0
51,control-yMS2882,2.0
52,control-yMS2882,2.0
53,control-yMS2882,1.0
54,control-yMS2882,3.0
55,control-yMS2882,1.0
56,control-yMS2882,1.0
57,control-yMS2882,1.0
58,control-yMS2882,0.0
59,control-yMS2882,1.0
60,control-yMS2882,8.0
61,control-yMS2882,0.0
62,control-yMS2882,1.0
63,control-yMS2882,4.0
64,control-yMS2882,0.0
65,control-yMS2882,3.0
66,control-yMS2882,0.0
67,control-yMS2882,1.0
68,control-yMS2882,1.0
69,control-yMS2882,2.0
70,control-yMS2882,2.0
71,control-yMS2882,1.0
72,control-yMS2882,0.0
73,control-yMS2882,0.0
74,control-yMS2882,2.0
75,control-yMS2882,1.0
76,control-yMS2882,1.0
77,control-yMS2882,0.0
78,control-yMS2882,0.0
79,control-yMS2882,0.0
80,control-yMS2882,2.0
81,control-yMS2882,2.0
82,control-yMS2882,1.0
83,control-yMS2882,5.0
84,control-yMS2882,0.0
85,control-yMS2882,3.0
86,control-yMS2882,2.0
87,control-yMS2882,1.0
88,control-yMS2882,0.0
89,control-yMS2882,0.0
90,control-yMS2882,1.0
91,control-yMS2882,2.0
92,control-yMS2882,1.0
93,control-yMS2882,0.0
94,control-yMS2882,2.0
95,control-yMS2882,1.0
96,control-yMS2882,2.0
97,control-yMS2882,1.0
98,control-yMS2882,1.0
99,control-yMS2882,1.0
100,control-yMS2882,1.0
101,control-yMS2882,2.0
102,control-yMS2882,2.0
103,control-yMS2882,1.0
104,control-yMS2882,0.0
105,control-yMS2882,3.0
106,control-yMS2882,1.0
107,control-yMS2882,1.0
108,control-yMS2882,1.0
109,control-yMS2882,1.0
110,control-yMS2882,1.0
111,control-yMS2882,2.0
112,control-yMS2882,1.0
113,control-yMS2882,1.0
114,control-yMS2882,1.0
115,control-yMS2882,0.0
116,control-yMS2882,1.0
117,control-yMS2882,0.0
118,control-yMS2882,2.0
119,control-yMS2882,1.0
120,control-yMS2882,1.0
121,control-yMS2882,0.0
122,control-yMS2882,2.0
124,control-yMS2882,0.0
125,control-yMS2882,0.0
126,control-yMS2882,1.0
127,control-yMS2882,0.0
128,control-yMS2882,1.0
130,control-yMS2882,0.0
131,control-yMS2882,0.0
133,control-yMS2882,2.0
134,control-yMS2882,1.0
135,control-yMS2882,0.0
136,control-yMS2882,1.0
138,control-yMS2882,1.0
139,control-yMS2882,0.0
140,control-yMS2882,0.0
141,control-yMS2882,0.0
142,control-yMS2882,0.0
143,control-yMS2882,1.0
144,control-yMS2882,0.0
145,control-yMS2882,0.0
146,control-yMS2882,0.0
147,control-yMS2882,2.0
150,control-yMS2882,0.0
151,control-yMS2882,1.0
152,control-yMS2882,2.0
153,control-yMS2882,1.0
154,control-yMS2882,0.0
155,control-yMS2882,0.0
156,control-yMS2882,1.0
157,control-yMS2882,1.0
158,control-yMS2882,0.0
159,control-yMS2882,0.0
160,control-yMS2882,0.0
161,control-yMS2882,0.0
162,control-yMS2882,2.0
163,control-yMS2882,1.0
164,control-yMS2882,0.0
165,control-yMS2882,2.0
166,control-yMS2882,0.0
167,control-yMS2882,1.0
169,control-yMS2882,1.0
170,control-yMS2882,2.0
171,control-yMS2882,2.0
173,control-yMS2882,1.0
174,control-yMS2882,3.0
175,control-yMS2882,0.0
176,control-yMS2882,2.0
177,control-yMS2882,1.0
179,control-yMS2882,4.0
180,control-yMS2882,1.0
181,control-yMS2882,1.0
182,control-yMS2882,2.0
183,control-yMS2882,2.0
184,control-yMS2882,2.0
185,control-yMS2882,1.0
187,control-yMS2882,1.0
188,control-yMS2882,1.0
190,control-yMS2882,1.0
191,control-yMS2882,0.0
192,control-yMS2882,1.0
193,control-yMS2882,1.0
194,control-yMS2882,1.0
195,control-yMS2882,0.0
196,control-yMS2882,1.0
197,control-yMS2882,1.0
198,control-yMS2882,1.0
199,control-yMS2882,1.0
200,control-yMS2882,0.0
201,control-yMS2882,0.0
202,control-yMS2882,3.0
203,control-yMS2882,3.0
204,control-yMS2882,1.0
205,control-yMS2882,1.0
206,control-yMS2882,2.0
207,control-yMS2882,1.0
208,control-yMS2882,1.0
209,control-yMS2882,2.0
210,control-yMS2882,0.0
211,control-yMS2882,2.0
212,control-yMS2882,2.0
213,control-yMS2882,0.0
214,control-yMS2882,2.0
215,control-yMS2882,0.0
216,control-yMS2882,2.0
217,control-yMS2882,1.0
218,control-yMS2882,1.0
219,control-yMS2882,1.0
220,control-yMS2882,2.0
221,control-yMS2882,1.0
222,control-yMS2882,2.0
223,control-yMS2882,0.0
224,control-yMS2882,1.0
225,control-yMS2882,2.0
226,control-yMS2882,0.0
227,control-yMS2882,0.0
228,control-yMS2882,1.0
229,control-yMS2882,2.0
231,control-yMS2882,0.0
232,control-yMS2882,2.0
233,control-yMS2882,2.0
234,control-yMS2882,3.0
235,control-yMS2882,0.0
236,control-yMS2882,0.0
237,control-yMS2882,1.0
238,control-yMS2882,1.0
239,control-yMS2882,1.0
240,control-yMS2882,0.0
241,control-yMS2882,0.0
242,control-yMS2882,2.0
243,control-yMS2882,2.0
244,control-yMS2882,0.0
245,control-yMS2882,1.0
246,control-yMS2882,2.0
247,control-yMS2882,2.0
248,control-yMS2882,0.0
249,control-yMS2882,1.0
250,control-yMS2882,0.0
251,control-yMS2882,2.0
252,control-yMS2882,1.0
253,control-yMS2882,1.0
254,control-yMS2882,4.0
255,control-yMS2882,0.0
256,control-yMS2882,1.0
257,control-yMS2882,3.0
258,control-yMS2882,2.0
259,control-yMS2882,1.0
260,control-yMS2882,2.0
261,control-yMS2882,0.0
262,control-yMS2882,1.0
263,control-yMS2882,0.0
264,control-yMS2882,0.0
265,control-yMS2882,1.0
266,control-yMS2882,1.0
267,control-yMS2882,1.0
268,control-yMS2882,1.0
269,control-yMS2882,3.0
270,control-yMS2882,1.0
271,control-yMS2882,1.0
272,control-yMS2882,3.0
273,control-yMS2882,2.0
274,control-yMS2882,0.0
275,control-yMS2882,0.0
276,control-yMS2882,1.0
277,control-yMS2882,1.0
278,control-yMS2882,3.0
279,control-yMS2882,1.0
280,control-yMS2882,2.0
281,control-yMS2882,3.0
282,control-yMS2882,1.0
283,control-yMS2882,1.0
284,control-yMS2882,2.0
285,control-yMS2882,1.0
286,control-yMS2882,1.0
287,control-yMS2882,3.0
288,control-yMS2882,1.0
289,control-yMS2882,1.0
290,control-yMS2882,2.0
291,control-yMS2882,2.0
292,control-yMS2882,0.0
293,control-yMS2882,1.0
294,control-yMS2882,1.0
