Object ID,Mean Intensity TransCon,Total Intensity TransCon,Circularity Factor ,Total Intensity 405nm,Mean Intensity 405nm,Total Intensity 488nm,Mean Intensity 488nm,Total Intensity 561nm,Mean Intensity 561nm,Area ,Well ,Position ,Parent Object ID (Well),Parent Trace ID,R01,well_BY,well_mch_ynl,well_mch_ynl_OE_LYS,Strain
33280,5821.6064,5268554.0,1.0424616,124972.0,138.09061,110696.0,122.31602,110917.0,122.56022,905,48,4,47,-1,1,0,0,0,control-yMS2882
83371,6860.7466,9934361.0,1.0183701,211260.02,145.8978,186527.98,128.81767,184220.0,127.22375,1448,50,1,49,-1,1,0,0,0,control-yMS2882
2364,8573.3018,10613748.0,1.0395776,218228.02,176.27464,156269.0,126.22698,150273.0,121.38368,1238,1,4,0,-1,1,0,0,0,control-yMS2882
88160,6004.1328,5067488.0,1.053195,112279.01,133.032,105887.0,125.45853,103504.0,122.63507,844,50,4,49,-1,1,0,0,0,control-yMS2882
2666,8407.4844,6028166.5,1.037192,113325.0,158.0544,83449.0,116.38633,88510.0,123.44491,717,1,4,0,-1,1,0,0,0,control-yMS2882
3277,8241.6768,7450476.0,1.0384849,135717.0,150.12943,102896.0,113.82301,106739.0,118.07411,904,1,4,0,-1,1,0,0,0,control-yMS2882
84196,5812.6328,4446664.0,1.0456748,103786.0,135.66797,84854.0,110.92027,89335.0,116.77778,765,50,1,49,-1,1,0,0,0,control-yMS2882
940,6714.6753,5109868.0,1.1111834,120667.0,158.56374,96038.0,126.19974,88735.0,116.60316,761,1,2,0,-1,1,0,0,0,control-yMS2882
85950,7019.5527,6324617.0,1.0472527,133489.0,148.15649,117936.0,130.89456,111626.0,123.89124,901,50,3,49,-1,1,0,0,0,control-yMS2882
31664,5776.5186,2807388.0,1.0786103,72023.0,148.19548,56035.0,115.29836,57241.0,117.77984,486,48,1,47,-1,1,0,0,0,control-yMS2882
32290,6354.0356,5528011.0,1.1206541,119435.01,137.28162,108337.0,124.52528,104992.0,120.68046,870,48,1,47,-1,1,0,0,0,control-yMS2882
34571,5264.5635,4053714.0,1.1007481,112127.99,145.62077,97643.0,126.80909,92466.0,120.08572,770,48,4,47,-1,1,0,0,0,control-yMS2882
87378,7410.5137,6595357.0,1.0481297,131754.0,148.03821,117755.0,132.30899,115768.0,130.0764,890,50,4,49,-1,1,0,0,0,control-yMS2882
1467,8635.332,6346969.0,1.0313161,122382.99,166.50748,92868.0,126.35102,86871.0,118.19183,735,1,4,0,-1,1,0,0,0,control-yMS2882
87533,6863.3394,6636849.0,1.0606863,137202.0,141.88417,132213.0,136.72493,117854.0,121.87591,967,50,4,49,-1,1,0,0,0,control-yMS2882
33865,6207.3218,10055861.0,1.0093497,210013.0,129.63765,204349.0,126.14136,199946.0,123.42345,1620,48,4,47,-1,1,0,0,0,control-yMS2882
88001,6671.0781,4856545.0,1.0343999,97153.0,133.45192,89591.0,123.06456,88195.0,121.14698,728,50,4,49,-1,1,0,0,0,control-yMS2882
2487,8357.3604,6385023.5,1.0758204,107057.0,140.12697,92646.0,121.2644,95357.0,124.81283,764,1,4,0,-1,1,0,0,0,control-yMS2882
30832,6562.1372,3346690.0,1.0616624,73579.0,144.27255,63482.0,124.47451,63181.0,123.88432,510,48,1,47,-1,1,0,0,0,control-yMS2882
84911,6620.3301,9804709.0,1.0437354,201786.0,136.24983,178663.0,120.63673,180445.0,121.83997,1481,50,3,49,-1,1,0,0,0,control-yMS2882
1840,8663.3955,4998779.0,1.0548121,82270.0,142.58232,66510.0,115.26863,70525.0,122.22704,577,1,4,0,-1,1,0,0,0,control-yMS2882
3392,7847.8867,8875960.0,1.0476093,154272.0,136.40318,127971.99,113.14942,131211.0,116.01326,1131,1,4,0,-1,1,0,0,0,control-yMS2882
876,6503.7446,6932992.0,1.0507547,151322.0,141.95309,135430.0,127.04503,127980.0,120.05628,1066,1,2,0,-1,1,0,0,0,control-yMS2882
31442,6626.3364,2677040.0,1.0570603,73217.0,181.23019,51463.0,127.38367,49343.0,122.13614,404,48,1,47,-1,1,0,0,0,control-yMS2882
84676,6027.4146,3706860.0,1.1074176,81075.992,131.83089,74035.0,120.38211,73446.0,119.42439,615,50,3,49,-1,1,0,0,0,control-yMS2882
84207,6263.7266,4440982.0,1.0491347,102507.01,144.5797,93284.0,131.57123,86386.0,121.84203,709,50,1,49,-1,1,0,0,0,control-yMS2882
88679,6696.8579,5759298.0,1.0948161,113699.01,132.20815,103759.0,120.65,103483.0,120.32907,860,50,4,49,-1,1,0,0,0,control-yMS2882
84136,5901.3887,3889015.2,1.1435015,94275.0,143.05766,78691.0,119.40971,77963.0,118.30501,659,50,1,49,-1,1,0,0,0,control-yMS2882
2717,8571.4609,9600036.0,1.0554969,151980.0,135.69643,130572.0,116.58215,131826.0,117.70178,1120,1,4,0,-1,1,0,0,0,control-yMS2882
170,7628.6597,8002464.0,1.029468,143182.0,136.4938,133744.0,127.49667,121238.0,115.57484,1049,1,1,0,-1,1,0,0,0,control-yMS2882
87661,7187.0654,5253745.0,1.0437291,96610.0,132.16142,89542.0,122.49248,88125.0,120.55404,731,50,4,49,-1,1,0,0,0,control-yMS2882
32671,6247.5205,1524395.0,1.1418189,34703.0,142.2254,29969.0,122.82377,31053.0,127.2664,244,48,1,47,-1,1,0,0,0,control-yMS2882
86630,5716.2686,3618398.0,1.1420442,75718.0,119.61769,71986.0,113.72196,70246.0,110.97314,633,50,4,49,-1,1,0,0,0,control-yMS2882
2574,8102.6084,5898699.0,1.0743579,104120.99,143.02335,82658.0,113.54121,88023.0,120.91071,728,1,4,0,-1,1,0,0,0,control-yMS2882
83646,6275.6079,5748457.0,1.061691,125825.0,137.36354,120254.99,131.28275,113660.0,124.08297,916,50,1,49,-1,1,0,0,0,control-yMS2882
31212,7208.1582,8289382.0,1.0211436,186174.02,161.89044,149873.98,130.32521,144581.0,125.72261,1150,48,1,47,-1,1,0,0,0,control-yMS2882
84272,6167.2139,4724086.0,1.1117942,107181.0,139.92297,89852.0,117.30026,89607.0,116.98042,766,50,1,49,-1,1,0,0,0,control-yMS2882
754,5794.979,3326318.0,1.0532742,77904.0,135.72125,66187.0,115.30836,68935.0,120.09582,574,1,2,0,-1,1,0,0,0,control-yMS2882
87802,6901.377,6356168.0,1.0408135,136110.0,147.78502,124733.01,135.43214,115262.0,125.14875,921,50,4,49,-1,1,0,0,0,control-yMS2882
630,6104.8774,4236785.0,1.0897684,97288.0,140.18443,87897.0,126.65274,83609.0,120.47406,694,1,2,0,-1,1,0,0,0,control-yMS2882
84921,5887.7617,4468811.0,1.0550817,102812.0,135.45718,91239.0,120.20949,91283.0,120.26746,759,50,3,49,-1,1,0,0,0,control-yMS2882
31255,7066.1704,5469216.0,1.0402196,110112.0,142.26357,99794.0,128.93282,96301.0,124.4199,774,48,1,47,-1,1,0,0,0,control-yMS2882
33768,5823.9844,1846203.0,1.0191506,55643.0,175.52997,47597.0,150.14827,43864.0,138.37224,317,48,4,47,-1,1,0,0,0,control-yMS2882
87145,6303.7412,4626946.0,1.0527061,101175.01,137.84061,82492.0,112.38692,85843.0,116.95232,734,50,4,49,-1,1,0,0,0,control-yMS2882
83168,6020.4707,4400964.0,1.0546177,105699.0,144.59508,92527.0,126.57592,89894.0,122.97401,731,50,1,49,-1,1,0,0,0,control-yMS2882
32401,7710.9619,2213046.0,1.0796894,35447.0,123.50871,36549.0,127.34843,33584.0,117.01742,287,48,1,47,-1,1,0,0,0,control-yMS2882
30595,6932.0146,3341231.0,1.0413767,76775.0,159.28423,61152.0,126.87137,59909.0,124.29253,482,48,1,47,-1,1,0,0,0,control-yMS2882
2823,8056.709,7452456.0,1.0566443,138365.0,149.58379,115579.0,124.95027,109809.0,118.71243,925,1,4,0,-1,1,0,0,0,control-yMS2882
31636,6704.6104,4371406.0,1.1409047,99039.008,151.90031,83820.008,128.55829,83441.0,127.977,652,48,1,47,-1,1,0,0,0,control-yMS2882
33494,6100.9028,9743142.0,1.0259491,214771.02,134.48404,197950.0,123.95116,196548.0,123.07327,1597,48,4,47,-1,1,0,0,0,control-yMS2882
32646,7148.043,3009326.0,1.0560517,51344.0,121.95724,47520.0,112.87411,49053.0,116.51544,421,48,1,47,-1,1,0,0,0,control-yMS2882
83899,6089.0444,2045918.9,1.0792256,48481.0,144.2887,37130.0,110.50595,38906.0,115.79166,336,50,1,49,-1,1,0,0,0,control-yMS2882
3240,8161.8599,10414533.0,1.0474649,181133.0,141.95377,149037.0,116.80016,150263.0,117.76097,1276,1,4,0,-1,1,0,0,0,control-yMS2882
32033,6936.5137,5160766.0,1.018917,110835.0,148.97177,98100.0,131.85484,98034.0,131.76613,744,48,1,47,-1,1,0,0,0,control-yMS2882
85957,6586.2964,5736664.0,1.1045454,120576.01,138.43399,106823.0,122.64409,104607.0,120.09988,871,50,3,49,-1,1,0,0,0,control-yMS2882
33840,6128.7559,7587400.0,1.0211239,180793.0,146.03635,169707.0,137.08159,150747.0,121.76656,1238,48,4,47,-1,1,0,0,0,control-yMS2882
87991,7230.6968,4605954.0,1.0363446,100618.0,157.95604,84932.0,133.33124,77228.0,121.23705,637,50,4,49,-1,1,0,0,0,control-yMS2882
1239,9000.6045,12141815.0,1.0204984,187004.0,138.62416,166015.0,123.06523,167868.0,124.43884,1349,1,4,0,-1,1,0,0,0,control-yMS2882
85588,6595.6353,2783358.0,1.1506114,80317.0,190.32465,46575.0,110.3673,51342.0,121.66351,422,50,3,49,-1,1,0,0,0,control-yMS2882
33814,6265.2524,4918223.0,1.0263584,134162.0,170.90701,97660.0,124.40765,99514.0,126.76942,785,48,4,47,-1,1,0,0,0,control-yMS2882
32199,6340.2852,5782340.0,1.0579874,154676.0,169.60088,110599.0,121.27084,110953.0,121.65899,912,48,1,47,-1,1,0,0,0,control-yMS2882
85613,6312.125,3275993.0,1.0996408,69952.0,134.78227,64194.0,123.68786,61442.0,118.38535,519,50,3,49,-1,1,0,0,0,control-yMS2882
87450,7056.6475,8926659.0,1.0647606,169486.0,133.98103,154232.0,121.92253,159957.0,126.44822,1265,50,4,49,-1,1,0,0,0,control-yMS2882
2645,7813.1592,3047132.0,1.1303261,61676.0,158.14359,43308.0,111.04615,47086.0,120.73333,390,1,4,0,-1,1,0,0,0,control-yMS2882
33795,5766.3203,3655847.0,1.1056107,99559.0,157.03313,81690.008,128.84859,82014.0,129.35962,634,48,4,47,-1,1,0,0,0,control-yMS2882
82,7543.2603,6638069.0,1.0817589,121142.0,137.66136,102085.0,116.00568,103799.0,117.95341,880,1,1,0,-1,1,0,0,0,control-yMS2882
860,6244.0518,3964972.8,1.0992032,87679.0,138.07716,74845.0,117.86614,74861.0,117.89134,635,1,2,0,-1,1,0,0,0,control-yMS2882
